Time,Open,High,Low,Last,Change,Volume
11/7/2019 18:00,82.935,83.047,82.93,82.948,0.013,9947
11/7/2019 17:00,82.965,82.982,82.922,82.935,-0.03,5573
11/7/2019 16:00,82.936,82.977,82.928,82.965,0.03,2593
11/7/2019 15:00,82.916,82.974,82.9,82.935,0.019,3884
11/7/2019 14:00,82.915,82.938,82.824,82.916,0.001,9087
11/7/2019 13:00,83.022,83.081,82.893,82.915,-0.106,10475
11/7/2019 12:00,83.076,83.079,82.989,83.021,-0.055,9345
11/7/2019 11:00,83.018,83.105,82.989,83.076,0.058,12971
11/7/2019 10:00,82.977,83.041,82.866,83.018,0.041,12846
11/7/2019 9:00,82.907,82.992,82.819,82.977,0.07,15061
11/7/2019 8:00,82.837,82.918,82.826,82.907,0.07,13163
11/7/2019 7:00,82.869,82.922,82.811,82.837,-0.032,9795
11/7/2019 6:00,82.838,82.917,82.821,82.869,0.036,10126
11/7/2019 5:00,82.937,82.948,82.831,82.833,-0.104,9259
11/7/2019 4:00,82.848,82.966,82.847,82.937,0.09,9676
11/7/2019 3:00,82.747,82.865,82.743,82.847,0.1,9160
11/7/2019 2:00,82.707,82.768,82.678,82.747,0.04,10658
11/7/2019 1:00,82.413,82.856,82.396,82.707,0.294,16279
11/7/2019 0:00,82.44,82.441,82.384,82.413,-0.027,4547
11/6/2019 23:00,82.361,82.44,82.357,82.44,0.079,3926
11/6/2019 22:00,82.351,82.385,82.343,82.361,0.01,2976
11/6/2019 21:00,82.41,82.411,82.33,82.351,-0.059,6235
11/6/2019 20:00,82.474,82.474,82.381,82.41,-0.065,6791
11/6/2019 19:00,82.578,82.59,82.432,82.475,-0.104,6725
11/6/2019 18:00,82.593,82.62,82.567,82.579,-0.013,5563
11/6/2019 17:00,82.632,82.636,82.59,82.592,-0.04,3825
11/6/2019 16:00,82.663,82.663,82.593,82.632,-0.031,5260
11/6/2019 15:00,82.638,82.679,82.632,82.663,0.026,3744
11/6/2019 14:00,82.625,82.642,82.61,82.637,0.012,5561
11/6/2019 13:00,82.603,82.632,82.589,82.625,0.022,6838
11/6/2019 12:00,82.558,82.626,82.515,82.603,0.045,8291
11/6/2019 11:00,82.537,82.615,82.518,82.558,0.021,10081
11/6/2019 10:00,82.717,82.756,82.49,82.537,-0.18,13456
11/6/2019 9:00,82.747,82.783,82.703,82.717,-0.03,12431
11/6/2019 8:00,82.743,82.783,82.666,82.747,0.004,11262
11/6/2019 7:00,82.805,82.808,82.69,82.743,-0.062,8392
11/6/2019 6:00,82.794,82.812,82.768,82.805,0.018,6758
11/6/2019 5:00,82.832,82.833,82.774,82.787,-0.045,5962
11/6/2019 4:00,82.79,82.832,82.761,82.832,0.042,6858
11/6/2019 3:00,82.857,82.873,82.768,82.79,-0.067,7864
11/6/2019 2:00,82.766,82.887,82.746,82.857,0.09,9631
11/6/2019 1:00,82.758,82.786,82.7,82.767,0.009,7747
11/6/2019 0:00,82.862,82.87,82.728,82.758,-0.105,6643
11/5/2019 23:00,82.838,82.867,82.834,82.863,0.026,3823
11/5/2019 22:00,82.833,82.85,82.82,82.837,0.004,3639
11/5/2019 21:00,82.87,82.875,82.829,82.833,-0.037,3943
11/5/2019 20:00,82.903,82.905,82.848,82.87,-0.034,5240
11/5/2019 19:00,82.876,82.927,82.844,82.904,0.027,8179
11/5/2019 18:00,82.967,82.968,82.875,82.877,-0.089,6975
11/5/2019 17:00,83.012,83.032,82.963,82.966,-0.046,4590
11/5/2019 16:00,82.957,83.023,82.946,83.012,0.054,3631
11/5/2019 15:00,82.932,82.984,82.912,82.958,0.027,4233
11/5/2019 14:00,83.008,83.011,82.924,82.931,-0.077,5911
11/5/2019 13:00,82.964,83.014,82.962,83.008,0.044,6428
11/5/2019 12:00,82.917,82.975,82.898,82.964,0.047,8699
11/5/2019 11:00,82.816,82.927,82.814,82.917,0.101,9354
11/5/2019 10:00,82.948,82.959,82.81,82.816,-0.132,13268
11/5/2019 9:00,82.868,83.002,82.868,82.948,0.079,19155
11/5/2019 8:00,82.899,82.92,82.848,82.869,-0.029,12433
11/5/2019 7:00,82.898,82.935,82.875,82.898,0.001,10999
11/5/2019 6:00,82.88,82.905,82.857,82.897,0.022,8741
11/5/2019 5:00,82.953,82.954,82.862,82.875,-0.077,9124
11/5/2019 4:00,82.973,83.002,82.942,82.952,-0.021,7056
11/5/2019 3:00,82.909,82.997,82.895,82.973,0.064,8636
11/5/2019 2:00,82.825,82.93,82.813,82.909,0.085,10901
11/5/2019 1:00,82.765,82.877,82.725,82.824,0.058,9187
11/5/2019 0:00,82.716,82.777,82.716,82.766,0.05,5498
11/4/2019 23:00,82.719,82.728,82.687,82.716,-0.005,4412
11/4/2019 22:00,82.705,82.732,82.693,82.721,0.015,5183
11/4/2019 21:00,82.676,82.717,82.629,82.706,0.03,6486
11/4/2019 20:00,82.653,82.686,82.634,82.676,0.023,5828
11/4/2019 19:00,82.646,82.655,82.568,82.653,0.006,7521
11/4/2019 18:00,82.643,82.691,82.627,82.647,0.005,7272
11/4/2019 17:00,82.543,82.684,82.536,82.642,0.1,8436
11/4/2019 16:00,82.549,82.577,82.503,82.542,-0.007,6858
11/4/2019 15:00,82.572,82.572,82.541,82.549,-0.025,3159
11/4/2019 14:00,82.615,82.615,82.548,82.574,-0.04,5758
11/4/2019 13:00,82.606,82.623,82.561,82.614,0.008,6514
11/4/2019 12:00,82.607,82.628,82.594,82.606,-0.001,5864
11/4/2019 11:00,82.585,82.613,82.56,82.607,0.022,5703
11/4/2019 10:00,82.579,82.634,82.569,82.585,0.007,10071
11/4/2019 9:00,82.511,82.592,82.473,82.578,0.067,10227
11/4/2019 8:00,82.437,82.56,82.422,82.511,0.074,10550
11/4/2019 7:00,82.414,82.46,82.366,82.437,0.024,8342
11/4/2019 6:00,82.378,82.466,82.377,82.413,0.036,6235
11/4/2019 5:00,82.441,82.453,82.377,82.377,-0.063,6200
11/4/2019 4:00,82.396,82.453,82.384,82.44,0.044,7345
11/4/2019 3:00,82.456,82.471,82.36,82.396,-0.06,7145
11/4/2019 2:00,82.459,82.488,82.422,82.456,-0.004,10583
11/4/2019 1:00,82.411,82.478,82.401,82.46,0.05,6830
11/4/2019 0:00,82.383,82.414,82.367,82.41,0.027,2894
11/3/2019 23:00,82.374,82.387,82.357,82.383,0.008,2524
11/3/2019 22:00,82.374,82.389,82.367,82.375,0.002,2618
11/3/2019 21:00,82.388,82.399,82.359,82.373,-0.015,3873
11/3/2019 20:00,82.352,82.406,82.343,82.388,0.037,3689
11/3/2019 19:00,82.316,82.36,82.316,82.351,0.035,3863
11/3/2019 18:00,82.335,82.35,82.311,82.316,-0.019,1987
